lat,lon,status,confidence
2884.5,1102.5,Alive,0.37472222222222223
1377.5,1955.5,Dead,0.0
1906.5,1996.5,Dead,0.0
1987.5,2605.5,Dead,0.0
2939.5,1550.5,Dead,0.0
592.5,1633.5,Dead,0.0
2830.5,2666.5,Dead,0.0
2463.5,1693.5,Dead,0.0
2719.5,386.5,Alive,0.7966666666666666
2654.5,2308.5,Dead,0.0
2887.5,1193.5,Alive,0.6963888888888888
801.5,1748.5,Dead,0.0038888888888888888
1586.5,479.5,Alive,0.45916666666666667
2596.5,1330.5,Alive,0.08805555555555555
2857.5,145.5,Alive,0.6183333333333333
1085.5,394.5,Dead,0.0
737.5,1775.5,Dead,0.0
722.5,535.5,Alive,0.5166666666666667
367.5,1641.5,Dead,0.0
1252.5,680.5,Alive,0.7975
977.5,2539.5,Dead,0.0
2614.5,805.5,Alive,0.6830555555555555
1936.5,2129.5,Dead,0.0
2206.5,2264.5,Dead,0.0
1407.5,313.5,Alive,0.2722222222222222
2265.5,2321.5,Dead,0.0
2216.5,2797.5,Dead,0.0
881.5,489.5,Alive,0.5058333333333334
2695.5,1682.5,Dead,0.006111111111111111
1413.5,3536.5,Dead,0.0
91.5,1166.5,Dead,0.0
2727.5,2668.5,Dead,0.0
2809.5,296.5,Alive,0.5836111111111111
1508.5,393.5,Alive,0.705
2497.5,293.5,Alive,0.5936111111111111
1283.5,443.5,Alive,0.7766666666666666
1309.5,491.5,Alive,0.8716666666666667
395.5,680.5,Dead,0.0
151.5,1217.5,Dead,0.0
1688.5,2377.5,Dead,0.0
2253.5,1499.5,Dead,0.0
671.5,1535.5,Dead,0.0
1985.5,2336.5,Dead,0.0
2669.5,3263.5,Dead,0.0
484.5,2565.5,Dead,0.0
751.5,1894.5,Dead,0.0
2781.5,3880.5,Dead,0.0
1352.5,239.5,Alive,0.7616666666666667
2395.5,1631.5,Dead,0.0
777.5,1787.5,Dead,0.0
2176.5,3499.5,Dead,0.0
1847.5,1063.5,Alive,0.43222222222222223
2361.5,2957.5,Dead,0.0
2475.5,567.5,Alive,0.3333333333333333
1301.5,2181.5,Dead,0.0
2287.5,1052.5,Alive,0.058333333333333334
1673.5,1219.5,Alive,0.11583333333333333
2687.5,1040.5,Alive,0.5672222222222222
2393.5,2206.5,Dead,0.0
2317.5,1960.5,Dead,0.0
2684.5,1081.5,Alive,0.7891666666666667
1772.5,1168.5,Alive,0.22111111111111112
1255.5,3607.5,Dead,0.0
1531.5,3347.5,Dead,0.0
572.5,3550.5,Dead,0.03166666666666667
2907.5,2929.5,Dead,0.0
2167.5,1575.5,Dead,0.0
2445.5,2542.5,Dead,0.0
448.5,1543.5,Dead,0.0
781.5,503.5,Alive,0.44722222222222224
349.5,308.5,Dead,0.0
2642.5,1775.5,Dead,0.0
1973.5,2080.5,Dead,0.0
1539.5,2617.5,Dead,0.0
1940.5,2050.5,Dead,0.0
604.5,203.5,Alive,0.8208333333333333
2624.5,277.5,Alive,0.4672222222222222
2444.5,287.5,Alive,0.4088888888888889
1204.5,871.5,Alive,0.38916666666666666
1652.5,2399.5,Dead,0.0
851.5,411.5,Alive,0.36777777777777776
2629.5,2126.5,Dead,0.0
963.5,2632.5,Dead,0.0
2726.5,3047.5,Dead,0.0
1607.5,1979.5,Dead,0.0
1133.5,2072.5,Dead,0.0
2918.5,802.5,Alive,0.82
263.5,871.5,Dead,0.0
2393.5,1996.5,Dead,0.0
2733.5,1021.5,Alive,0.6277777777777778
243.5,1647.5,Dead,0.0
2930.5,2398.5,Dead,0.0
1911.5,1214.5,Alive,0.12527777777777777
2151.5,1682.5,Dead,0.0
2623.5,1915.5,Dead,0.0
1255.5,140.5,Alive,0.5469444444444445
1516.5,955.5,Alive,0.55
369.5,1737.5,Dead,0.0
177.5,1264.5,Dead,0.0
2769.5,974.5,Alive,0.7419444444444444
2746.5,413.5,Alive,0.855
1359.5,287.5,Alive,0.4263888888888889
883.5,3743.5,Dead,0.0
171.5,590.5,Dead,0.0
2924.5,2098.5,Dead,0.0
971.5,2176.5,Dead,0.0
437.5,295.5,Dead,0.0
952.5,2823.5,Dead,0.0
652.5,591.5,Dead,0.0
2263.5,3322.5,Dead,0.0
1271.5,2841.5,Dead,0.0
647.5,128.5,Alive,0.8444444444444444
727.5,315.5,Alive,0.7483333333333333
1659.5,2365.5,Dead,0.0
1783.5,1125.5,Alive,0.3475
316.5,1591.5,Dead,0.0
111.5,2391.5,Dead,0.0
2276.5,2492.5,Dead,0.0
692.5,2650.5,Dead,0.0
526.5,1577.5,Dead,0.0
